"Country","Alcohol.Consumption.All.Types","Beer","Other","Spirits","Wine"
"Uganda",7.63,0.84,6.54,0.23,0.01
"Ukraine",5.75,2.46,0.4,2.56,0.32
"United Arab Emirates",2.03,0.21,0.01,1.68,0.14
"United Kingdom",9.82,3.49,0.73,2.13,3.48
"United Republic of Tanzania",6.16,0.75,5.28,0.1,0.02
"United States",8.78,4.13,,3.07,1.59
"Uruguay",9.03,3.18,0,1.91,3.94
"Uzbekistan",1.61,0.55,0,0.91,0.14
"Vanuatu",0.85,0.33,0,0.31,0.22
"Venezuela (Bolivarian Republic of)",5.98,4.7,0.05,1.22,0.01
"Vietnam",2.92,2.67,0,0.23,0.02
"Yemen",0.04,0.03,0,0,0
"Zambia",2.89,1.05,1.75,0.01,0.08
"Zimbabwe",3.55,2.23,0.85,0.43,0.05
